Exercise,Muscle Groups,Engagement Percentages,Equipment
single-kettlebell-crunch,['front_abs'],['100.0%'],['Kettlebell']
med-ball-around-the-world,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Medball']
cable-front-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Cables']
dumbbell-floor-t,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
yoga-ball-knee-tuck,"['front_abs', 'front_hip_flexors']","['100.0%', '40.0%']",['Yoga Ball']
dumbbell-curl,['front_biceps'],['100.0%'],['Dumbbell']
half-kneeling-band-one-arm-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Bands']
seated-single-kettlebell-lumberjack,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Kettlebell']
cable-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
kettlebell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
seated-dumbbell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
alternating-band-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bands']
single-kettlebell-swing,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%']",['Kettlebell']
half-kneeling-kettlebell-overhead-press,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
spiderman-stretch,"['back_hip_adductors', 'back_hamstrings', 'front_hip_adductors', 'front_hip_flexors']","['100.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
tricep-stretch,['back_hamstrings'],['100.0%'],['Bodyweight']
ez-bar-skull-crusher,['back_hamstrings'],['100.0%'],"['Bench', 'EZ Curl Bar']"
single-leg-box-jump,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Box']
dumbbell-overhead-walk,"['back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Dumbbell']
kettlebell-firemans-carry,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%']",['Kettlebell']
single-leg-dumbbell-box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Dumbbell']
single-kettlebell-trunk-rotation,"['front_abs', 'front_obliques']","['40.0%', '100.0%']",['Kettlebell']
med-ball-lying-leg-raise,"['front_abs', 'front_hip_flexors']","['100.0%', '40.0%']",['Medball']
bodyweight-seated-hip-rotation,"['back_glutes', 'back_hip_abductors', 'front_hip_abductors']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
superman,"['back_lower_back', 'back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '40.0%', '40.0%']",['Bodyweight']
cable-high-row,"['back_lats', 'back_hamstrings', 'front_shoulders', 'front_traps']","['40.0%', '100.0%', '100.0%', '40.0%']",['Cables']
cable-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Cables']"
bodyweight-reverse-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Bodyweight']
med-ball-deadlift-to-press,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_biceps', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Medball']
two-leg-hamstring-stretch,['back_hamstrings'],['100.0%'],['Bodyweight']
dumbbell-forward-lunge-hold,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Dumbbell']
med-ball-overhead-walk,"['back_hamstrings', 'front_abs', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Medball']
three-point-slider,['front_quads'],['100.0%'],['Bodyweight']
kettlebell-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Kettlebell']
med-ball-incline-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '100.0%', '100.0%']","['Bench', 'Medball']"
single-kettlebell-plank-weight-drag-through,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
bodyweight-power-step-up,"['back_glutes', 'front_quads']","['40.0%', '100.0%']",['Box']
battle-ropes-shoulder-rotation,"['back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '40.0%', '100.0%']",['Battle Ropes']
single-leg-bodyweight-hip-thrust,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '40.0%', '40.0%']",['Bench']
barbell-overhead-lunge-hold,"['back_glutes', 'back_hamstrings', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '100.0%']",['Barbell']
single-kettlebell-bench-one-arm-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Bench', 'Kettlebell']"
dumbbell-clean,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads', 'front_shoulders', 'front_traps']","['100.0%', '40.0%', '100.0%', '100.0%', '40.0%', '100.0%']",['Dumbbell']
single-kettlebell-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%', '40.0%']",['Kettlebell']
med-ball-romanian-deadlift,"['back_glutes', 'back_lower_back', 'back_hamstrings']","['40.0%', '100.0%', '100.0%']",['Medball']
frog-stretch,"['back_hip_adductors', 'front_hip_adductors', 'front_hip_flexors']","['100.0%', '100.0%', '100.0%']",['Bodyweight']
plank-to-push-up,"['back_hamstrings', 'front_abs', 'front_chest', 'front_obliques', 'front_shoulders']","['100.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Bodyweight']
kettlebell-forward-lunge-hold,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '100.0%', '100.0%']",['Kettlebell']
hammer-pull-up,"['back_lats', 'front_biceps']","['100.0%', '40.0%']","['Pull-Up Bar', 'Hammer']"
alternating-kettlebell-bench-press,"['back_hamstrings', 'front_chest', 'front_shoulders']","['40.0%', '100.0%', '40.0%']","['Bench', 'Kettlebell']"
the-hundred,"['back_hamstrings', 'front_abs', 'front_hip_flexors', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Bodyweight']
shoulder-tap-to-push-up,"['back_hamstrings', 'front_abs', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%']",['Bodyweight']
med-ball-walking-lunge,"['back_glutes', 'front_quads']","['100.0%', '100.0%']",['Medball']
dumbbell-v-up,['front_abs'],['100.0%'],['Dumbbell']
high-side-plank,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '100.0%']",['Bodyweight']
half-dumbbell-curl,['front_biceps'],['100.0%'],['Dumbbell']
engaged-scapular-hanging,"['back_lats', 'back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%', '100.0%']",['Pull-Up Bar']
dumbbell-devils-press,"['back_glutes', 'back_hamstrings', 'front_abs', 'front_biceps', 'front_hip_flexors', 'front_quads', 'front_shoulders']","['100.0%', '100.0%', '40.0%', '100.0%', '100.0%', '100.0%', '100.0%']",['Dumbbell']
kettlebell-archer-row,"['back_lats', 'back_hamstrings', 'front_biceps', 'front_shoulders']","['100.0%', '40.0%', '40.0%', '40.0%']",['Kettlebell']
side-plank-leg-abduction,"['back_glutes', 'back_hip_abductors', 'back_hamstrings', 'front_abs', 'front_hip_abductors', 'front_obliques', 'front_shoulders']","['40.0%', '100.0%', '40.0%', '40.0%', '100.0%', '100.0%', '40.0%']",['Bodyweight']
single-leg-band-box-squat,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Bands']
trx-standing-iyt,"['back_hamstrings', 'front_shoulders', 'front_traps']","['100.0%', '100.0%', '100.0%']",['trx']
seated-cable-wide-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
cable-plank-overhead-row,"['back_lats', 'back_hamstrings', 'front_abs', 'front_obliques', 'front_shoulders']","['100.0%', '40.0%', '100.0%', '40.0%', '40.0%']",['Cables']
barbell-reverse-lunge,"['back_glutes', 'back_hamstrings', 'front_quads']","['100.0%', '40.0%', '100.0%']",['Barbell']
attack-and-retreat,"['back_glutes', 'front_quads']","['40.0%', '100.0%']",['Bodyweight']
donkey-kick,"['back_glutes', 'back_hamstrings']","['100.0%', '100.0%']",['Bodyweight']
single-arm-split-stance-row,"['back_lats', 'front_biceps']","['100.0%', '40.0%']",['Cables']
it-band-roller,['front_quads'],['100.0%'],['Roller']
band-external-rotation,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Bands']
standing-ankle-flexion,['front_tibialis'],['100.0%'],['Bodyweight']
cable-external-rotation,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Cables']
dumbbell-lateral-raise,"['back_hamstrings', 'front_shoulders']","['100.0%', '100.0%']",['Dumbbell']
push-up,"['back_hamstrings', 'front_chest']","['40.0%', '100.0%']",['Bodyweight']
barbell-floor-tricep-cycle,"['back_hamstrings', 'front_chest', 'front_shoulders']","['100.0%', '40.0%', '40.0%']",['Barbell']
dumbbell-tate-press,['back_hamstrings'],['100.0%'],"['Bench', 'Dumbbell']"
windshield-wiper,['front_obliques'],['100.0%'],['Bodyweight']
dumbbell-lumberjack-squat,"['back_hamstrings', 'front_abs', 'front_obliques', 'front_quads', 'front_shoulders']","['40.0%', '100.0%', '100.0%', '40.0%', '40.0%']",['Dumbbell']
barbell-calf-raise,['back_calves'],['100.0%'],['Barbell']
fast-feet,"['front_hip_flexors', 'front_quads']","['100.0%', '40.0%']",['Bodyweight']
l-sit-pull-up,"['back_lats', 'front_abs', 'front_biceps', 'front_hip_flexors']","['100.0%', '100.0%', '40.0%', '100.0%']",['Pull-Up Bar']
dumbbell-floor-chest-fly,['front_chest'],['100.0%'],['Dumbbell']
lying-hollow-body-hold,"['front_abs', 'front_hip_flexors']","['100.0%', '40.0%']",['Bodyweight']
